division,district,upazila,post_office,postal_code,source_url
Barisal,Pirojpur,Nesarabad,Swarupkati UPO,8520,https://bdpost.gov.bd/pages/static-pages/6922dc7a933eb65569e1093e
Barisal,Pirojpur,Pirojpur Sadar,Hularhat SO,8501,https://bdpost.gov.bd/pages/static-pages/6922dc7a933eb65569e1093e
Barisal,Pirojpur,Pirojpur Sadar,Parerhat SO,8502,https://bdpost.gov.bd/pages/static-pages/6922dc7a933eb65569e1093e
Barisal,Pirojpur,Pirojpur Sadar,Pirojpur HO,8500,https://bdpost.gov.bd/pages/static-pages/6922dc7a933eb65569e1093e
Barisal,Pirojpur,Zianagar,,,
Chattogram,Bandarban,Alikadam,Alikadam UPO,4650,https://bdpost.gov.bd/pages/static-pages/6922e099933eb65569e27c53
Chattogram,Bandarban,Bandarban Sadar,Bandarban HO,4600,https://bdpost.gov.bd/pages/static-pages/6922e099933eb65569e27c53
Chattogram,Bandarban,Lama,Aziz Nagar SO,4641,https://bdpost.gov.bd/pages/static-pages/6922e099933eb65569e27c53
Chattogram,Bandarban,Lama,Lama SO (Lama Thana Headquarters),4640,https://bdpost.gov.bd/pages/static-pages/6922e099933eb65569e27c53
Chattogram,Bandarban,Naikhongchhari,Naikhangchari UPO,4660,https://bdpost.gov.bd/pages/static-pages/6922e099933eb65569e27c53
Chattogram,Bandarban,Rowangchhari,Roangchari UPO,4610,https://bdpost.gov.bd/pages/static-pages/6922e099933eb65569e27c53
Chattogram,Bandarban,Ruma,Ruma UPO,4620,https://bdpost.gov.bd/pages/static-pages/6922e099933eb65569e27c53
Chattogram,Bandarban,Thanchi,Thanchi UPO,4630,https://bdpost.gov.bd/pages/static-pages/6922e099933eb65569e27c53
Chattogram,Brahmanbaria,Akhaura,Akhaura UPO,3450,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a733
Chattogram,Brahmanbaria,Akhaura,Azampur EDSO,3451,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a733
Chattogram,Brahmanbaria,Akhaura,Ganga Sagor SO,3452,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a733
Chattogram,Brahmanbaria,Ashuganj,,,
Chattogram,Brahmanbaria,Bancharampur,Bancharampur UPO,3420,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a733
Chattogram,Brahmanbaria,Bijoynagar,,,
Chattogram,Brahmanbaria,Brahmanbaria Sadar,Ashugonj FF SO,3403,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a733
Chattogram,Brahmanbaria,Brahmanbaria Sadar,Ashugonj SO,3402,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a733
Chattogram,Brahmanbaria,Brahmanbaria Sadar,"Brah,anbaria HO",3400,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a733
Chattogram,Brahmanbaria,Brahmanbaria Sadar,Pattan EDSO,3404,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a733
Chattogram,Brahmanbaria,Brahmanbaria Sadar,Talsahar EDSO,3401,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a733
Chattogram,Brahmanbaria,Kasba,Chandiwar,3462,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a733
Chattogram,Brahmanbaria,Kasba,Chargas SO,3463,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a733
Chattogram,Brahmanbaria,Kasba,Gupinathpur SO,3464,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a733
Chattogram,Brahmanbaria,Kasba,Kuti SO,3461,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a733
Chattogram,Brahmanbaria,Kasba,Quasba UPO,3460,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a733
Chattogram,Brahmanbaria,Nabinagar,Jibongonj Bazar EDSO,3416,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a733
Chattogram,Brahmanbaria,Nabinagar,Kaitala SO,3417,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a733
Chattogram,Brahmanbaria,Nabinagar,Laur Fatepur EDSO,3411,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a733
Chattogram,Brahmanbaria,Nabinagar,Nabinagar UPO,3410,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a733
Chattogram,Brahmanbaria,Nabinagar,Rasullahbad EDSO,3412,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a733
Chattogram,Brahmanbaria,Nabinagar,Ratanpur EDSO,3414,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a733
Chattogram,Brahmanbaria,Nabinagar,Salimgonj SO,3418,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a733
Chattogram,Brahmanbaria,Nabinagar,Shahapur SO,3415,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a733
Chattogram,Brahmanbaria,Nabinagar,Shyamgram SO,3413,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a733
Chattogram,Brahmanbaria,Nasirnagar,Fandauk SO,3441,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a733
Chattogram,Brahmanbaria,Nasirnagar,Nasirnagar UPO,3440,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a733
Chattogram,Brahmanbaria,Sarail,Chandura SO,3432,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a733
Chattogram,Brahmanbaria,Sarail,Sarail UPO,3430,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a733
Chattogram,Brahmanbaria,Sarail,Shahbajpur SO,3431,https://bdpost.gov.bd/pages/static-pages/6922e123933eb65569e2a733
Chattogram,Chandpur,Chandpur Sadar,Baburhat SO,3602,https://bdpost.gov.bd/pages/static-pages/6922e065933eb65569e26d8d
Chattogram,Chandpur,Chandpur Sadar,Chandpur HO,3600,https://bdpost.gov.bd/pages/static-pages/6922e065933eb65569e26d8d
Chattogram,Chandpur,Chandpur Sadar,Puranbazar SO,3601,https://bdpost.gov.bd/pages/static-pages/6922e065933eb65569e26d8d
Chattogram,Chandpur,Chandpur Sadar,Sahatali EDSO,3603,https://bdpost.gov.bd/pages/static-pages/6922e065933eb65569e26d8d
Chattogram,Chandpur,Faridgonj,Chandra SO,3651,https://bdpost.gov.bd/pages/static-pages/6922e065933eb65569e26d8d
Chattogram,Chandpur,Faridgonj,Faridgonj UPO,3650,https://bdpost.gov.bd/pages/static-pages/6922e065933eb65569e26d8d
Chattogram,Chandpur,Faridgonj,Gridkalinda EDSO,3653,https://bdpost.gov.bd/pages/static-pages/6922e065933eb65569e26d8d
