division,district,source_upazila,classification,proposed_upazila,reason,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3
Khulna,Jashore,Noapara (Avay Nagar),safe_candidate,Abhaynagar,parenthetical_high_confidence,Abhaynagar,0.615,Bagherpara,0.385,Manirampur,0.308
Rangpur,Rangpur,Kaonia,manual_review,,,Kaunia,0.833,Hajirhat,0.429,Gangachara,0.375
Chattogram,Rangamati,Jarachari,manual_review,,,Juraichari,0.857,Baghaichari,0.727,Belaichari,0.667
Chattogram,Rangamati,Kalampati (Kaokhali),safe_candidate,Kawkhali,parenthetical_high_confidence,Kawkhali,0.560,Rajasthali,0.519,Rangamati Sadar,0.516
Chattogram,Rangamati,Longdu,manual_review,,,Langadu,0.769,Rangamati Sadar,0.300,Chandroghona,0.222
Chattogram,Rangamati,Marishya (Bagaichari),manual_review,,,Baghaichari,0.710,Belaichari,0.600,Juraichari,0.600
Dhaka,Rajbari,Goalondo,manual_review,,,Goalanda,0.750,Baliakandi,0.444,Pangsa,0.286
Rajshahi,Rajshahi,Khodemohanpur(Mohanpur),safe_candidate,Mohonpur,parenthetical_high_confidence,Mohonpur,0.483,Chandrima,0.400,Belpukur,0.345
Rajshahi,Rajshahi,Lalitgonj,manual_review,,,Boalia,0.533,Bagha,0.429,Kasiadanga,0.421
Chattogram,Lakshmipur,Char Alexander (Rangamati),manual_review,,,Ramgati,0.414,Ramganj,0.276,Raipur,0.214
Chattogram,Lakshmipur,Ramgonj,safe_candidate,Ramganj,normalized_alias,Ramganj,1.000,Ramgati,0.714,Kamalnagar,0.471
Chattogram,Lakshmipur,Roypur,manual_review,,,Raipur,0.667,Lakshmipur Sadar,0.286,Ramganj,0.154
Rangpur,Lalmonirhat,Tushbhanader,manual_review,,,Hatibandha,0.364,Lalmonirhat Sadar,0.357,Aditmari,0.300
Dhaka,Shariatpur,Bhedergonj,safe_candidate,Bhedarganj,second_pass_similarity:0.900;margin:0.633,Bhedarganj,0.900,Naria,0.267,Zajira,0.250
Dhaka,Shariatpur,Demuday,manual_review,,,Damudya,0.714,Bhedarganj,0.353,Shariatpur Sadar,0.273
Dhaka,Shariatpur,Jangira,manual_review,,,Zajira,0.615,Gosairhat,0.500,Naria,0.500
Mymensingh,Sherpur,Bakshigonj,manual_review,,,Jhenaigati,0.400,Nalitabari,0.300,Sherpur Sadar,0.273
