district_label_bn,source_upazila,post_office_en,post_office_bn,postal_code,source_postal_code_raw,serial,source_url
ঢাকা পোস্ট কোড,Joypara (Dohar),Narisha,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Joypara (Dohar),Dohar,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Joypara (Dohar),Meghula,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Joypara (Dohar),Aorangabad,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Joypara (Dohar),Kusumhati,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Joypara (Dohar),Dokkhin Braha,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Joypara (Dohar),Palamgonj SO,,1331,,35,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Joypara (Dohar),Jamalchar,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Joypara (Dohar),Narisha SO,,1332,,36,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Joypara (Dohar),Mokshedpur So,,1333,,37,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Savar,Savar UPO,,1340,,38,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Savar,Vakurta,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Savar,Amin Bazar,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Savar,Rajfulbariya,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Savar,Rajashon,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Savar,Hemayetpur,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Savar,Moshurikhola,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Savar,Shobahanbagh,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Savar,Nayarhat,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Savar,Biruliya,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Savar,Nagarkonda,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Savar,Dairy Firm SO,,1341,,39,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Savar,Ashuliya,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Savar,Zirabo,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Savar,Jahangir Nagar University SO,,1342,,40,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Savar,Savar PATC SO,,1343,,41,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Savar,CRP Chapain,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Savar,Savar Cantt. SO,,1344,,42,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Savar,Mirzanagar,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Savar,Senwaliya,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Savar,Shimulia SO,,1345,,43,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Savar,Noihati Bazar,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Savar,Kashem Cotton Mills SO,,1346,,44,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Savar,Rajfulbaria EDSO,,1347,,45,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Savar,Amin Bazar,,1348,,46,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Savar,EPZ SO,,1349,,47,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Savar,Karimpur,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
ঢাকা পোস্ট কোড,Savar,Uttor Gazirchat,,,,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f
