division,district,source_upazila,raw_row_count,coded_row_count,post_office_samples,postal_code_samples,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3
Barisal,Patuakhali,Khepupara,2,2,Khepupara UPO | Mahipur EDSO,8650 | 8651,Kalapara,0.588,Bauphal,0.375,Galachipa,0.333
Rajshahi,Pabna,Bhangora,1,1,Bhangora,6640,Bhangura,0.875,Atghoria,0.500,Bera,0.500
Rajshahi,Pabna,Debattar (Afgaria),1,1,Debattar (Afgaria) UPO,6610,Atghoria,0.522,Sujanagar,0.417,Santhia,0.364
Rajshahi,Pabna,Iswardi,4,4,Iswardi UPO | Dapari EDSO | Pakshi SO | Rajapur Hat SO,6620 | 6621 | 6622 | 6623,Ishurdi,0.714,Faridpur,0.400,Sujanagar,0.375
Barisal,Pirojpur,Banaripara,2,2,Banaripara UPO | Chakher SO,8530 | 8531,Bhandaria,0.737,Nazirpur,0.556,Zianagar,0.556
Barisal,Pirojpur,Kaukhali,4,4,Kaukhali UPO | Keondia EDSO | Joykul EDSO | Julagati EDSO,8510 | 8511 | 8512 | 8513,Kawkhali,0.875,Mathbaria,0.471,Bhandaria,0.353
Barisal,Pirojpur,Swarupkati,4,4,Swarupkati UPO | Darus Sunnat SO | Kaurikhara SO | Jalabari SO,8520 | 8521 | 8522 | 8523,Indurkani,0.421,Nesarabad,0.421,Kawkhali,0.333
Rajshahi,Bogura,Dunat,2,2,Dunat UPO | Gosaibari EDSO,5850 | 5851,Dhunot,0.727,Dupchanchia,0.500,Sonatala,0.462
Rajshahi,Bogura,Gabtoli,2,2,Gabtoli UPO | Sukhanpukur SO,5820 | 5821,Gabtali,0.857,Sonatala,0.400,Kahaloo,0.286
Rajshahi,Bogura,Kahalu,1,1,Kahalu UPO,5870,Kahaloo,0.769,Shajahanpur,0.471,Gabtali,0.462
Rajshahi,Bogura,Sonatola,1,1,Sonatola UPO,5826,Sonatala,0.875,Gabtali,0.400,Nondigram,0.353
Barisal,Barisal,Barjalia (Hijla),2,2,Barjalia (Hijla) UPo | Osman Manjil SO,8260 | 8261,Barisal Sadar,0.560,Hizla,0.444,Banaripara,0.435
Barisal,Barisal,Uzirpur,4,4,Uzirpur UPO | Dhamura SO | Jugirkanda SO | Sikarpur SO,8220 | 8221 | 8222 | 8223,Wazirpur,0.800,Airport,0.571,Kashipur,0.533
Khulna,Bagerhat,Chalna Anchorange,2,2,Chalna Anchorange UPO | Mongla Port SO,9350 | 9351,Chitalmari,0.462,Bagerhat Sadar,0.345,Sarankhola,0.308
Chattogram,Brahmanbaria,Quasba,5,5,Quasba UPO | Kuti SO | Chandiwar | Chargas SO | Gupinathpur SO,3460 | 3461 | 3462 | 3463 | 3464,Kasba,0.727,Ashuganj,0.429,Nabinagar,0.400
Dhaka,Madaripur,Rajair,2,2,Rajair UPO | Khalia SO,7910 | 7911,Rajoir,0.833,Madaripur Sadar,0.400,Kalkini,0.308
Dhaka,Manikganj,Shibalaya,13,4,Shibalaya UPO | Amdala | Baghutiya | Khalshi | Nali | Noyabari | Jafarganj | Rupshi,1850 | 1851 | 1852 | 1853,Shibaloy,0.824,Saturia,0.375,Singiar,0.375
