district_label_bn,division,district,source_upazila,match_type,matched_upazila,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3
খাগড়াছড়ি পোস্ট কোড,Chattogram,Khagrachhari,Panchari,exact,Panchari,Panchari,1.000,Manikchari,0.778,Mohalchari,0.667
খাগড়াছড়ি পোস্ট কোড,Chattogram,Khagrachhari,Ranghar,review,,Ramgarh,0.714,Panchari,0.667,Matiranga,0.625
খাগড়াছড়ি পোস্ট কোড,Chattogram,Khagrachhari,Sadar,review,,Ramgarh,0.500,Panchari,0.462,Khagrachhari Sadar,0.455
খুলনা পোস্ট কোড,Khulna,Khulna,Alaipur (Rupsha),parenthetical,Rupsha,Rupsha,0.632,Daulatpur,0.545,Khalishpur,0.522
খুলনা পোস্ট কোড,Khulna,Khulna,Batiaghat,review,,Botiaghata,0.842,Aranghata,0.667,Paikgasa,0.471
খুলনা পোস্ট কোড,Khulna,Khulna,Chalna Bazar (Dakup),review,,Khulna Sadar,0.519,Dakop,0.381,Terokhada,0.320
খুলনা পোস্ট কোড,Khulna,Khulna,Digalia,review,,Digholia,0.800,Paikgasa,0.533,Daulatpur,0.500
খুলনা পোস্ট কোড,Khulna,Khulna,Fultala,review,,Fultola,0.857,Khulna Sadar,0.444,Terokhada,0.375
খুলনা পোস্ট কোড,Khulna,Khulna,Madinabad (Koyra),parenthetical,Koyra,Koyra,0.526,Labanchara,0.417,Paikgasa,0.364
খুলনা পোস্ট কোড,Khulna,Khulna,Palkgacha,review,,Paikgasa,0.706,Labanchara,0.526,Aranghata,0.444
খুলনা পোস্ট কোড,Khulna,Khulna,Sadar,review,,Khulna Sadar,0.625,Sonadanga,0.571,Terokhada,0.429
খুলনা পোস্ট কোড,Khulna,Khulna,Sajiara (Dumuria),parenthetical,Dumuria,Dumuria,0.667,Terokhada,0.348,Sonadanga,0.348
খুলনা পোস্ট কোড,Khulna,Khulna,Terakhada,review,,Terokhada,0.889,Aranghata,0.556,Botiaghata,0.526
গাইবান্ধা পোস্ট কোড,Rangpur,Gaibandha,Bonarpara (Saghate),review,,Saghata,0.522,Gaibandha Sadar,0.400,Gobindaganj,0.370
গাইবান্ধা পোস্ট কোড,Rangpur,Gaibandha,Fulchari,review,,Phulchari,0.824,Palashbari,0.556,Sadullapur,0.444
গাইবান্ধা পোস্ট কোড,Rangpur,Gaibandha,Gobindagonj,review,,Gobindaganj,0.909,Sundarganj,0.571,Gaibandha Sadar,0.400
গাইবান্ধা পোস্ট কোড,Rangpur,Gaibandha,Palashbari,exact,Palashbari,Palashbari,1.000,Phulchari,0.632,Gaibandha Sadar,0.417
গাইবান্ধা পোস্ট কোড,Rangpur,Gaibandha,Sadar,review,,Sadullapur,0.667,Sundarganj,0.533,Gaibandha Sadar,0.526
গাইবান্ধা পোস্ট কোড,Rangpur,Gaibandha,Sadullahpur,review,,Sadullapur,0.952,Palashbari,0.476,Phulchari,0.400
গাইবান্ধা পোস্ট কোড,Rangpur,Gaibandha,Sundargonj,review,,Sundarganj,0.900,Gobindaganj,0.571,Sadullapur,0.400
গাজীপুর পোস্ট কোড,Dhaka,Gazipur,Gazipur,review,,Gazipur Sadar,0.737,Kashimpur,0.625,Sreepur,0.429
গাজীপুর পোস্ট কোড,Dhaka,Gazipur,Kaligonj,review,,Kaliganj,0.875,Kaliakair,0.471,Bason,0.462
গাজীপুর পোস্ট কোড,Dhaka,Gazipur,Kapasia,exact,Kapasia,Kapasia,1.000,Konabari,0.533,Kaliakair,0.500
গাজীপুর পোস্ট কোড,Dhaka,Gazipur,Monnonagar,review,,Konabari,0.556,Kaliganj,0.333,Tongi (West),0.316
গাজীপুর পোস্ট কোড,Dhaka,Gazipur,Sreepur,exact,Sreepur,Sreepur,1.000,Kashimpur,0.500,Gazipur Sadar,0.316
গাজীপুর পোস্ট কোড,Dhaka,Gazipur,kaliakair,exact,Kaliakair,Kaliakair,1.000,Kaliganj,0.588,Kapasia,0.500
গোপালগঞ্জ পোস্ট কোড,Dhaka,Gopalganj,Kasiani,review,,Kashiani,0.933,Kotalipara,0.471,Gopalganj Sadar,0.286
গোপালগঞ্জ পোস্ট কোড,Dhaka,Gopalganj,Kotalipara,exact,Kotalipara,Kotalipara,1.000,Tungipara,0.632,Kashiani,0.444
গোপালগঞ্জ পোস্ট কোড,Dhaka,Gopalganj,Maksudpur,review,,Muksudpur,0.889,Gopalganj Sadar,0.348,Kotalipara,0.316
গোপালগঞ্জ পোস্ট কোড,Dhaka,Gopalganj,Sadar,review,,Gopalganj Sadar,0.526,Muksudpur,0.429,Kotalipara,0.400
গোপালগঞ্জ পোস্ট কোড,Dhaka,Gopalganj,Tongipara,review,,Tungipara,0.889,Kotalipara,0.632,Gopalganj Sadar,0.348
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Anowara,review,,Anwara,0.923,Bandar,0.615,Lohagara,0.533
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Boalkhali,exact,Boalkhali,Boalkhali,1.000,Bakalia,0.750,Banshkhali,0.737
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Chandgaon,exact,Chandgaon,Chandgaon,1.000,Chandanaish,0.700,Bandar,0.533
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,East Zoara (Chandanaish),parenthetical,Chandanaish,Chandanaish,0.710,Chandgaon,0.483,Panchlaish,0.467
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Fatikchari,review,,Fatikchhari,0.952,Hathazari,0.632,Pahartali,0.526
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Hathazari,exact,Hathazari,Hathazari,1.000,Halishahar,0.632,Chawk Bazar,0.632
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Jaldi (Bashkhali),review,,Banshkhali,0.750,Boalkhali,0.609,Bakalia,0.571
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Karnafhuli,review,,Karnafuli,0.947,Khulshi,0.588,Pahartali,0.526
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Lohaghora,review,,Lohagara,0.824,Pahartali,0.444,Mirsharai,0.444
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Mireshwarai,review,,Mirsharai,0.900,Pahartali,0.500,Halishahar,0.476
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Patiya,exact,Patiya,Patiya,1.000,Patenga,0.615,Satkania,0.571
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Rangunia (Dhamair),review,,Rangunia,0.696,Pahartali,0.417,Bayejid Bostami,0.414
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Raozan,exact,Raozan,Raozan,1.000,Jorarganj,0.533,Satkania,0.429
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Sadar,review,,Bandar,0.727,Sadarghat,0.714,Sitakunda,0.571
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Sandwip,exact,Sandwip,Sandwip,1.000,Satkania,0.533,Sitakunda,0.500
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Satkania,exact,Satkania,Satkania,1.000,Bakalia,0.667,Sandwip,0.533
চট্টগ্রাম পোস্ট কোড,Chattogram,Chattogram,Sitakundu,review,,Sitakunda,0.889,Sandwip,0.500,Bandar,0.400
চাঁদপুর পোস্ট কোড,Chattogram,Chandpur,Faridgonj,exact,Faridgonj,Faridgonj,1.000,Hajiganj,0.588,Shahrasti,0.333
চাঁদপুর পোস্ট কোড,Chattogram,Chandpur,Haimchar,exact,Haimchar,Haimchar,1.000,Kachua,0.571,Hajiganj,0.500
চাঁদপুর পোস্ট কোড,Chattogram,Chandpur,Hajigonj,review,,Hajiganj,0.875,Faridgonj,0.706,Haimchar,0.375
চাঁদপুর পোস্ট কোড,Chattogram,Chandpur,Kachua,exact,Kachua,Kachua,1.000,Haimchar,0.571,Chandpur Sadar,0.421
