division,district,source_upazila,classification,proposed_upazila,reason,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3
Rangpur,Dinajpur,Maharajgonj (Kaharul),manual_review,,,Kaharol,0.480,Nawabganj,0.370,Bochaganj,0.370
Rangpur,Dinajpur,Nababgonj,manual_review,,,Nawabganj,0.778,Bochaganj,0.444,Kaharol,0.375
Rangpur,Dinajpur,Sadar,safe_candidate,Dinajpur Sadar,unique_district_sadar,Dinajpur Sadar,0.556,Kaharol,0.500,Chirirbandar,0.471
Rangpur,Dinajpur,Setabgonj,manual_review,,,Nawabganj,0.556,Bochaganj,0.444,Birganj,0.375
Rajshahi,Naogaon,Ahsangonj (Atral),manual_review,,,Raninagar,0.435,Atrai,0.421,Naogaon Sadar,0.385
Rajshahi,Naogaon,Dhamuirhat,safe_candidate,Dhamoirhat,high_similarity:0.900;margin:0.479,Dhamoirhat,0.900,Niamatpur,0.421,Mohadevpur,0.400
Rajshahi,Naogaon,Mahadebpur,manual_review,,,Mohadevpur,0.800,Niamatpur,0.526,Sapahar,0.471
Rajshahi,Naogaon,Nitpur (Pursa),manual_review,,,Niamatpur,0.600,Porsha,0.471,Patnitala,0.400
Rajshahi,Naogaon,Patmitala,safe_candidate,Patnitala,high_similarity:0.889;margin:0.445,Patnitala,0.889,Raninagar,0.444,Atrai,0.429
Rajshahi,Naogaon,Sadar,safe_candidate,Naogaon Sadar,unique_district_sadar,Sapahar,0.667,Manda,0.600,Naogaon Sadar,0.588
Dhaka,Narsingdi,Narandi,manual_review,,,Monohardi,0.625,Narsingdi Sadar,0.571,Raipura,0.429
Dhaka,Narsingdi,Sadar,safe_candidate,Narsingdi Sadar,unique_district_sadar,Narsingdi Sadar,0.526,Shibpur,0.333,Raipura,0.333
Rajshahi,Natore,Sadar,safe_candidate,Natore Sadar,unique_district_sadar,Natore Sadar,0.625,Naldanga,0.462,Gurudaspur,0.400
Rajshahi,Natore,Singrha,safe_candidate,Singra,high_similarity:0.923;margin:0.423,Singra,0.923,Baraigram,0.500,Naldanga,0.400
Dhaka,Narayanganj,Arhaihazar,safe_candidate,Araihazar,high_similarity:0.947;margin:0.485,Araihazar,0.947,Narayanganj Sadar,0.462,Sonargaon,0.316
Dhaka,Narayanganj,Fatulla,manual_review,,,Fotullah,0.800,Bandar,0.308,Sonargaon,0.250
Dhaka,Narayanganj,Rupgonj,manual_review,,,Rupganj,0.857,Siddhirganj,0.444,Narayanganj Sadar,0.348
Dhaka,Narayanganj,Sadar,safe_candidate,Narayanganj Sadar,unique_district_sadar,Bandar,0.727,Narayanganj Sadar,0.476,Sonargaon,0.429
Dhaka,Narayanganj,Siddirgonj,manual_review,,,Siddhirganj,0.857,Sonargaon,0.526,Rupganj,0.471
Rangpur,Nilphamari,Kishoregonj,manual_review,,,Kishorganj,0.857,Domar,0.250,Nilphamari Sadar,0.231
Rangpur,Nilphamari,Sadar,safe_candidate,Nilphamari Sadar,unique_district_sadar,Domar,0.600,Syedpur,0.500,Nilphamari Sadar,0.500
Rangpur,Nilphamari,Sayedpur,safe_candidate,Syedpur,high_similarity:0.933;margin:0.585,Syedpur,0.933,Nilphamari Sadar,0.348,Domar,0.308
Mymensingh,Netrokona,Dharampasa,manual_review,,,Purbadhala,0.400,Atpara,0.375,Netrokona Sadar,0.333
Mymensingh,Netrokona,Dhobaura,manual_review,,,Durgapur,0.500,Barhatta,0.500,Purbadhala,0.444
Mymensingh,Netrokona,Kamakanda,safe_candidate,Kalmakanda,high_similarity:0.947;margin:0.376,Kalmakanda,0.947,Madan,0.571,Kendua,0.533
Mymensingh,Netrokona,Madhya Nagar,manual_review,,,Madan,0.625,Purbadhala,0.476,Kalmakanda,0.476
Mymensingh,Netrokona,Mohangonj,safe_candidate,Mohongonj,high_similarity:0.889;margin:0.460,Mohongonj,0.889,Madan,0.429,Khaliajuri,0.316
Mymensingh,Netrokona,Sadar,safe_candidate,Netrokona Sadar,unique_district_sadar,Madan,0.600,Atpara,0.545,Netrokona Sadar,0.526
Mymensingh,Netrokona,Susang,manual_review,,,Madan,0.364,Kendua,0.333,Durgapur,0.286
Chattogram,Noakhali,Bashurhat (Companigonj),manual_review,,,Companiganj,0.645,Begumganj,0.414,Kabirhat,0.357
Chattogram,Noakhali,Begumgonj,safe_candidate,Begumganj,high_similarity:0.889;margin:0.589,Begumganj,0.889,Companiganj,0.300,Senbug,0.267
Chattogram,Noakhali,Hatya,manual_review,,,Hatia,0.800,Kabirhat,0.462,Chatkhil,0.462
Chattogram,Noakhali,Sadar,safe_candidate,Noakhali Sadar,unique_district_sadar,Noakhali Sadar,0.556,Sonaimori,0.429,Hatia,0.400
Chattogram,Noakhali,Senbagh,manual_review,,,Senbug,0.769,Subarnachar,0.444,Sonaimori,0.375
Khulna,Narail,Sadar,safe_candidate,Narail Sadar,unique_district_sadar,Narail Sadar,0.625,Lohagara,0.462,Kalia,0.400
Rangpur,Panchagarh,Chotodab (Atwar),manual_review,,,Atwari,0.526,Panchagarh Sadar,0.357,Boda,0.353
Rangpur,Panchagarh,Debigonj,manual_review,,,Debiganj,0.875,Tetulia,0.267,Boda,0.167
Rangpur,Panchagarh,Sadar,safe_candidate,Panchagarh Sadar,unique_district_sadar,Atwari,0.545,Panchagarh Sadar,0.500,Boda,0.444
Barisal,Patuakhali,Baufal,manual_review,,,Bauphal,0.769,Rangabali,0.400,Patuakhali Sadar,0.381
Barisal,Patuakhali,Dasmina,safe_candidate,Dashmina,high_similarity:0.933;margin:0.433,Dashmina,0.933,Dumki,0.500,Mirzaganj,0.375
Barisal,Patuakhali,Golachipa,safe_candidate,Galachipa,high_similarity:0.889;margin:0.418,Galachipa,0.889,Kalapara,0.471,Dashmina,0.471
Barisal,Patuakhali,Khepupara,manual_review,,,Kalapara,0.588,Bauphal,0.375,Patuakhali Sadar,0.333
Barisal,Patuakhali,Sadar,safe_candidate,Patuakhali Sadar,unique_district_sadar,Patuakhali Sadar,0.500,Kalapara,0.462,Bauphal,0.333
Barisal,Patuakhali,Subidhakhali (Mirzagonj),manual_review,,,Mirzaganj,0.533,Patuakhali Sadar,0.444,Kalapara,0.345
Rajshahi,Pabna,Ban Wari Nagar (Farifpur),manual_review,,,Faridpur,0.500,Aminpur,0.444,Bhangura,0.429
Rajshahi,Pabna,Bhangora,manual_review,,,Bhangura,0.875,Bera,0.500,Atghoria,0.500
Rajshahi,Pabna,Debattar (Afgaria),manual_review,,,Atghoria,0.522,Sujanagar,0.417,Santhia,0.364
Rajshahi,Pabna,Iswardi,manual_review,,,Ishurdi,0.714,Faridpur,0.400,Sujanagar,0.375
Rajshahi,Pabna,Sadar,safe_candidate,Pabna Sadar,unique_district_sadar,Pabna Sadar,0.667,Sujanagar,0.571,Santhia,0.500
Barisal,Pirojpur,Banaripara,manual_review,,,Bhandaria,0.737,Zianagar,0.556,Nazirpur,0.556
Barisal,Pirojpur,Bhanderia,safe_candidate,Bhandaria,high_similarity:0.889;margin:0.333,Bhandaria,0.889,Mathbaria,0.556,Zianagar,0.353
Barisal,Pirojpur,Kaukhali,manual_review,,,Kawkhali,0.875,Mathbaria,0.471,Indurkani,0.353
Barisal,Pirojpur,Sadar,safe_candidate,Pirojpur Sadar,unique_district_sadar,Bhandaria,0.571,Pirojpur Sadar,0.556,Zianagar,0.462
Barisal,Pirojpur,Swarupkati,manual_review,,,Nesarabad,0.421,Indurkani,0.421,Nazirpur,0.333
Dhaka,Faridpur,Sadar,safe_candidate,Faridpur Sadar,unique_district_sadar,Sadarpur,0.769,Faridpur Sadar,0.556,Saltha,0.545
Chattogram,Feni,Dagon Bhuiyan,safe_candidate,Daganbhuiyan,high_similarity:0.917;margin:0.417,Daganbhuiyan,0.917,Chhagalnaiya,0.500,Parshuram,0.381
Chattogram,Feni,Sadar,safe_candidate,Feni Sadar,unique_district_sadar,Feni Sadar,0.714,Sonagazi,0.462,Parshuram,0.286
Rajshahi,Bogura,Dunat,manual_review,,,Dhunot,0.727,Dupchanchia,0.500,Sonatala,0.462
Rajshahi,Bogura,Dupchachia,safe_candidate,Dupchanchia,high_similarity:0.952;margin:0.531,Dupchanchia,0.952,Adamdighi,0.421,Shariakandi,0.381
