district_label_bn,division,district,source_upazila,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3
পঞ্চগড় পোস্ট কোড,Rangpur,Panchagarh,Debigonj,Debiganj,0.875,Tetulia,0.267,Boda,0.167
পটুয়াখালী পোস্ট কোড,Barisal,Patuakhali,Baufal,Bauphal,0.769,Rangabali,0.400,Patuakhali Sadar,0.381
পটুয়াখালী পোস্ট কোড,Barisal,Patuakhali,Khepupara,Kalapara,0.588,Bauphal,0.375,Patuakhali Sadar,0.333
পটুয়াখালী পোস্ট কোড,Barisal,Patuakhali,Subidhakhali (Mirzagonj),Mirzaganj,0.533,Patuakhali Sadar,0.444,Kalapara,0.345
পাবনা পোস্ট কোড,Rajshahi,Pabna,Ban Wari Nagar (Farifpur),Faridpur,0.500,Aminpur,0.444,Bhangura,0.429
পাবনা পোস্ট কোড,Rajshahi,Pabna,Bhangora,Bhangura,0.875,Bera,0.500,Atghoria,0.500
পাবনা পোস্ট কোড,Rajshahi,Pabna,Debattar (Afgaria),Atghoria,0.522,Sujanagar,0.417,Santhia,0.364
পাবনা পোস্ট কোড,Rajshahi,Pabna,Iswardi,Ishurdi,0.714,Faridpur,0.400,Sujanagar,0.375
পিরোজপুর পোস্ট কোড,Barisal,Pirojpur,Banaripara,Bhandaria,0.737,Zianagar,0.556,Nazirpur,0.556
পিরোজপুর পোস্ট কোড,Barisal,Pirojpur,Kaukhali,Kawkhali,0.875,Mathbaria,0.471,Indurkani,0.353
পিরোজপুর পোস্ট কোড,Barisal,Pirojpur,Swarupkati,Nesarabad,0.421,Indurkani,0.421,Nazirpur,0.333
বগুড়া পোস্ট কোড,Rajshahi,Bogura,Dunat,Dhunot,0.727,Dupchanchia,0.500,Sonatala,0.462
বগুড়া পোস্ট কোড,Rajshahi,Bogura,Gabtoli,Gabtali,0.857,Sonatala,0.400,Kahaloo,0.286
বগুড়া পোস্ট কোড,Rajshahi,Bogura,Kahalu,Kahaloo,0.769,Shajahanpur,0.471,Gabtali,0.462
বগুড়া পোস্ট কোড,Rajshahi,Bogura,Shibgonj,Shibganj,0.875,Shariakandi,0.421,Sonatala,0.375
বগুড়া পোস্ট কোড,Rajshahi,Bogura,Sonatola,Sonatala,0.875,Gabtali,0.400,Nondigram,0.353
বরিশাল পোস্ট কোড,Barisal,Barisal,Babugonj,Babuganj,0.875,Bakerganj,0.588,Bandar,0.429
বরিশাল পোস্ট কোড,Barisal,Barisal,Barjalia (Hijla),Barisal Sadar,0.560,Hizla,0.444,Banaripara,0.435
বরিশাল পোস্ট কোড,Barisal,Barisal,Sahebgonj (Bakhergonj),Bakerganj,0.571,Babuganj,0.370,Mehendiganj,0.333
বরিশাল পোস্ট কোড,Barisal,Barisal,Uzirpur,Wazirpur,0.800,Airport,0.571,Kashipur,0.533
বাগেরহাট পোস্ট কোড,Khulna,Bagerhat,Chalna Anchorange,Chitalmari,0.462,Bagerhat Sadar,0.345,Sarankhola,0.308
বাগেরহাট পোস্ট কোড,Khulna,Bagerhat,Morelgonj,Morrelganj,0.842,Mongla,0.400,Mollahat,0.353
বাগেরহাট পোস্ট কোড,Khulna,Bagerhat,Rayenda (Sharankhola),Sarankhola,0.714,Rampal,0.333,Bagerhat Sadar,0.323
ব্রাহ্মণবাড়িয়া পোস্ট কোড,Chattogram,Brahmanbaria,Quasba,Kasba,0.727,Ashuganj,0.429,Nabinagar,0.400
ভোলা পোস্ট কোড,Barisal,Bhola,Hat Shasigonj (Tazimuddin),Tazumuddin,0.562,Borhan Uddin,0.485,Charfesson,0.375
মাগুড়া পোস্ট কোড,Khulna,Magura,Arpara (Salikha),Shalikha,0.667,Magura Sadar,0.500,Sreepur,0.300
মাদারিপুর পোস্ট কোড,Dhaka,Madaripur,Rajair,Rajoir,0.833,Madaripur Sadar,0.400,Kalkini,0.308
মানিকগঞ্জ পোস্ট কোড,Dhaka,Manikganj,Shibalaya,Shibaloy,0.824,Singiar,0.375,Saturia,0.375
মানিকগঞ্জ পোস্ট কোড,Dhaka,Manikganj,Singair,Singiar,0.857,Saturia,0.429,Shibaloy,0.400
মুন্সিগঞ্জ পোস্ট কোড,Dhaka,Munshiganj,Gazaria,Gajaria,0.857,Tongibari,0.500,Sreenagar,0.375
মুন্সিগঞ্জ পোস্ট কোড,Dhaka,Munshiganj,Louhajong,Louhajanj,0.778,Tongibari,0.333,Munshiganj Sadar,0.333
মৌলভীবাজার পোস্ট কোড,Sylhet,Moulvibazar,Kamalgonj,Kamolganj,0.778,Kulaura,0.375,Rajnagar,0.353
যশোর পোস্ট কোড,Khulna,Jashore,Bagarpara,Bagherpara,0.842,Abhaynagar,0.526,Jhikargacha,0.400
যশোর পোস্ট কোড,Khulna,Jashore,Chawgacha,Chougachha,0.737,Jhikargacha,0.700,Sharsha,0.500
যশোর পোস্ট কোড,Khulna,Jashore,Noapara (Avay Nagar),Abhaynagar,0.615,Bagherpara,0.385,Manirampur,0.308
রংপুর পোস্ট কোড,Rangpur,Rangpur,Kaonia,Kaunia,0.833,Taragonj,0.429,Hajirhat,0.429
রাঙ্গামাটি পোস্ট কোড,Chattogram,Rangamati,Jarachari,Juraichari,0.842,Baghaichari,0.700,Naniarchar,0.632
রাঙ্গামাটি পোস্ট কোড,Chattogram,Rangamati,Kalampati (Kaokhali),Kawkhali,0.560,Rajasthali,0.519,Rangamati Sadar,0.516
রাঙ্গামাটি পোস্ট কোড,Chattogram,Rangamati,Longdu,Langadu,0.769,Rangamati Sadar,0.300,Chandroghona,0.222
রাঙ্গামাটি পোস্ট কোড,Chattogram,Rangamati,Marishya (Bagaichari),Baghaichari,0.690,Juraichari,0.571,Belaichari,0.571
রাজবাড়ী পোস্ট কোড,Dhaka,Rajbari,Goalondo,Goalanda,0.750,Baliakandi,0.444,Pangsa,0.286
রাজশাহী পোস্ট কোড,Rajshahi,Rajshahi,Khodemohanpur(Mohanpur),Mohonpur,0.483,Chandrima,0.400,Durgapur,0.345
রাজশাহী পোস্ট কোড,Rajshahi,Rajshahi,Lalitgonj,Boalia,0.400,Airport,0.375,Katakhali,0.333
লক্ষ্মীপুর পোস্ট কোড,Chattogram,Lakshmipur,Char Alexander (Rangamati),Ramgati,0.414,Ramganj,0.276,Raipur,0.214
লক্ষ্মীপুর পোস্ট কোড,Chattogram,Lakshmipur,Ramgonj,Ramganj,0.857,Ramgati,0.571,Kamalnagar,0.353
লক্ষ্মীপুর পোস্ট কোড,Chattogram,Lakshmipur,Roypur,Raipur,0.667,Lakshmipur Sadar,0.286,Ramgati,0.154
লালমনিরহাট পোস্ট কোড,Rangpur,Lalmonirhat,Tushbhanader,Hatibandha,0.364,Lalmonirhat Sadar,0.357,Aditmari,0.300
শরিয়তপুর পোস্ট কোড,Dhaka,Shariatpur,Bhedergonj,Bhedarganj,0.800,Palong,0.250,Shariatpur Sadar,0.240
