division,district,upazila,post_office,postal_code,source_url,source_district_label_bn,source_upazila,resolution_type
Dhaka,Dhaka,Dhamrai,Jalsin,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Dhamrai,exact
Dhaka,Dhaka,Dhamrai,Kalampur,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Dhamrai,exact
Dhaka,Dhaka,Dhamrai,Kalampur EDSO,1351,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Dhamrai,exact
Dhaka,Dhaka,Dhamrai,Kathaliya Nabogram,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Dhamrai,exact
Dhaka,Dhaka,Dhamrai,Mangalbari,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Dhamrai,exact
Dhaka,Dhaka,Dhamrai,Nannar,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Dhamrai,exact
Dhaka,Dhaka,Dhamrai,Nowga Bazar,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Dhamrai,exact
Dhaka,Dhaka,Dhamrai,Rajapur,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Dhamrai,exact
Dhaka,Dhaka,Dhamrai,Rowail,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Dhamrai,exact
Dhaka,Dhaka,Dhamrai,Sahabelishwar,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Dhamrai,exact
Dhaka,Dhaka,Dhamrai,Sanora,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Dhamrai,exact
Dhaka,Dhaka,Dhamrai,Shoilain,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Dhamrai,exact
Dhaka,Dhaka,Dhamrai,Suapur,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Dhamrai,exact
Dhaka,Dhaka,Dhamrai,Toperbari,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Dhamrai,exact
Dhaka,Dhaka,Dhanmondi,Jigatola TSO,1209,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Dhanmondi,exact
Dhaka,Dhaka,Dohar,Al-Amin Bazar,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Joypara (Dohar),parenthetical
Dhaka,Dhaka,Dohar,Aorangabad,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Joypara (Dohar),parenthetical
Dhaka,Dhaka,Dohar,Dohar,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Joypara (Dohar),parenthetical
Dhaka,Dhaka,Dohar,Dokkhin Braha,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Joypara (Dohar),parenthetical
Dhaka,Dhaka,Dohar,Harichandi,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Joypara (Dohar),parenthetical
Dhaka,Dhaka,Dohar,Jamalchar,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Joypara (Dohar),parenthetical
Dhaka,Dhaka,Dohar,Joypara (Dohar) UPO,1330,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Joypara (Dohar),parenthetical
Dhaka,Dhaka,Dohar,Kusumhati,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Joypara (Dohar),parenthetical
Dhaka,Dhaka,Dohar,Meghula,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Joypara (Dohar),parenthetical
Dhaka,Dhaka,Dohar,Mokshedpur So,1333,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Joypara (Dohar),parenthetical
Dhaka,Dhaka,Dohar,Narisha,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Joypara (Dohar),parenthetical
Dhaka,Dhaka,Dohar,Narisha SO,1332,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Joypara (Dohar),parenthetical
Dhaka,Dhaka,Dohar,Palamgonj SO,1331,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Joypara (Dohar),parenthetical
Dhaka,Dhaka,Gendaria,,,,,,canonical_fallback_no_verified_postal_row
Dhaka,Dhaka,Gulshan,Gulshan TSO,1212,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Gulshan,exact
Dhaka,Dhaka,Hatirjheel,,,,,,canonical_fallback_no_verified_postal_row
Dhaka,Dhaka,Hazaribagh,,,,,,canonical_fallback_no_verified_postal_row
Dhaka,Dhaka,Jatrabari,,,,,,canonical_fallback_no_verified_postal_row
Dhaka,Dhaka,Kadamtali,Habibnagar,,https://bdpost.gov.bd/pages/static-pages/6922dc7d933eb65569e10a5f,ঢাকা পোস্ট কোড,Kodomtoli,legacy_alias_explicit
