division,district,upazila,post_office,postal_code
Chattogram,Chandpur,Faridgonj,Chandra SO,3651
Chattogram,Chandpur,Faridgonj,Faridgonj UPO,3650
Chattogram,Chandpur,Faridgonj,Gridkalinda EDSO,3653
Chattogram,Chandpur,Faridgonj,Isalampur Shah Yasin Senior Madrasa SO,3655
Chattogram,Chandpur,Faridgonj,Rampur EDSO,3654
Chattogram,Chandpur,Faridgonj,Rupsha SO,3652
Chattogram,Chandpur,Haimchar,Gandamara SO,3661
Chattogram,Chandpur,Haimchar,Haimchar UPO,3660
Chattogram,Chandpur,Hajiganj,Balakhal SO,3611
Chattogram,Chandpur,Hajiganj,Hajigonj UPO,3610
Chattogram,Chandpur,Kachua,Kachua UPO,3630
Chattogram,Chandpur,Kachua,Paksrirampur EDSO,3631
Chattogram,Chandpur,Kachua,Rahima Nagar SO,3632
Chattogram,Chandpur,Kachua,Sachar SO,3633
Chattogram,Chandpur,Matlab North,,
Chattogram,Chandpur,Matlab South,,
Chattogram,Chandpur,Shahrasti,Chitoshi SO,3623
Chattogram,Chandpur,Shahrasti,Khila Bazar EDSO,3621
Chattogram,Chandpur,Shahrasti,Shahrasti UPO,3620
Chattogram,Chandpur,Shahrasti,West Kherihar Alzamia Islamia Madrasa SO,3622
Chattogram,Chattogram,Akbar Shah,,
Chattogram,Chattogram,Anwara,Anowara UPO,4376
Chattogram,Chattogram,Anwara,Battali EDSO,4378
Chattogram,Chattogram,Anwara,Boaliya EDBO,
Chattogram,Chattogram,Anwara,Boirag EDBO,
Chattogram,Chattogram,Anwara,Borumchara EDBO,
Chattogram,Chattogram,Anwara,Chunnapara EDBO,
Chattogram,Chattogram,Anwara,Dovashirhat EDBO,
Chattogram,Chattogram,Anwara,East Baria EDBO,
Chattogram,Chattogram,Anwara,Haildhar EDBO,
Chattogram,Chattogram,Anwara,Jhiuri EDBO,
Chattogram,Chattogram,Anwara,Koinpiura EDBO,
Chattogram,Chattogram,Anwara,Malghar Bazar EDBO,
Chattogram,Chattogram,Anwara,Minnat Ali Hat EDBO,
Chattogram,Chattogram,Anwara,Mohalkhan Bazar EDBO,
Chattogram,Chattogram,Anwara,Paraikora EDSO,4377
Chattogram,Chattogram,Anwara,Patnikota EDBO,
Chattogram,Chattogram,Anwara,Pirkhain EDBO,
Chattogram,Chattogram,Anwara,Shattarhat EDBO,
Chattogram,Chattogram,Anwara,Tekota EDBO,
Chattogram,Chattogram,Anwara,Toilardwip EDBO,
Chattogram,Chattogram,Anwara,Ushkhain EDBO,
Chattogram,Chattogram,Bakalia,,
Chattogram,Chattogram,Bandar,,
Chattogram,Chattogram,Banshkhali,Banigram SO,4393
Chattogram,Chattogram,Banshkhali,Gunagari EDSO,4392
Chattogram,Chattogram,Banshkhali,Jaldi (Bashkhali) UPO,4390
Chattogram,Chattogram,Banshkhali,Khan Bahadur Bazar SO,4391
Chattogram,Chattogram,Bayejid Bostami,,
Chattogram,Chattogram,Boalkhali,Ahala Darbar Sharif EDBO,
Chattogram,Chattogram,Boalkhali,Bengura EDBO,
Chattogram,Chattogram,Boalkhali,Boalkhali UPO,4366
Chattogram,Chattogram,Boalkhali,Chander Hat EDBO,
Chattogram,Chattogram,Boalkhali,Charandip SO,4369
Chattogram,Chattogram,Boalkhali,Hawla Sharif EDBO,
Chattogram,Chattogram,Boalkhali,Iqbal Park SO,4365
Chattogram,Chattogram,Boalkhali,Kadurkhil SO,4368
Chattogram,Chattogram,Boalkhali,Kanangupara SO,4363
Chattogram,Chattogram,Boalkhali,Khitabchar EDBO,
Chattogram,Chattogram,Boalkhali,Paschim Gomdandi EDBO,
Chattogram,Chattogram,Boalkhali,Paschim Kodurkhil EDBO,
Chattogram,Chattogram,Boalkhali,Paschim Shakpura EDBO,
Chattogram,Chattogram,Boalkhali,Sakpura SO,4367
Chattogram,Chattogram,Boalkhali,Sarotali SO,4364
Chattogram,Chattogram,Chandanaish,Barma SO,4383
Chattogram,Chattogram,Chandanaish,Boiltoli EDBO,
Chattogram,Chattogram,Chandanaish,Dohazari SO,4382
Chattogram,Chattogram,Chandanaish,East Zoara (Chandanaish) UPO,4380
Chattogram,Chattogram,Chandanaish,Gachbaria SO,4381
Chattogram,Chattogram,Chandanaish,Hashimpur EDBO,
Chattogram,Chattogram,Chandanaish,Hazipara EDBO,
Chattogram,Chattogram,Chandanaish,Islamabad EDBO,
Chattogram,Chattogram,Chandanaish,Kanchan Nagar EDBO,
Chattogram,Chattogram,Chandanaish,Korunachara EDBO,
Chattogram,Chattogram,Chandanaish,Paschim Keshua EDBO,
Chattogram,Chattogram,Chandanaish,Pathandandi EDBO,
Chattogram,Chattogram,Chandanaish,Satbaria EDBO,
Chattogram,Chattogram,Chandanaish,Suchiya EDBO,
Chattogram,Chattogram,Chandgaon,Darul Ma Arif EDBO,
Chattogram,Chattogram,Chawk Bazar,,
Chattogram,Chattogram,Chittagong Kotwali,,
Chattogram,Chattogram,Double Mooring,,
Chattogram,Chattogram,EPZ,,
Chattogram,Chattogram,Fatikchhari,Azadibazar SO,4357
Chattogram,Chattogram,Fatikchhari,Bhander Sharif SO,4352
Chattogram,Chattogram,Fatikchhari,Fatikchari UPO,4350
Chattogram,Chattogram,Fatikchhari,Harual Chari SO,4354
Chattogram,Chattogram,Fatikchhari,Nanupur SO,4351
Chattogram,Chattogram,Fatikchhari,Narayanhat SO,4355
Chattogram,Chattogram,Fatikchhari,Nazirhat SO,4353
Chattogram,Chattogram,Halishahar,,
Chattogram,Chattogram,Hathazari,Bodiul Alam Hat EDBO,
Chattogram,Chattogram,Hathazari,Chattogram University SO,4331
Chattogram,Chattogram,Hathazari,East Mekhol EDBO,
Chattogram,Chattogram,Hathazari,Fatehabad SO,4335
Chattogram,Chattogram,Hathazari,Ghar Duara EDSO,4332
Chattogram,Chattogram,Hathazari,Hathazari UPO,4330
Chattogram,Chattogram,Hathazari,Katirhat SO,4333
Chattogram,Chattogram,Hathazari,Madrasa SO,4336
Chattogram,Chattogram,Hathazari,Mirzapur EDSO,4334
Chattogram,Chattogram,Hathazari,Nondir Hat EDBO,
Chattogram,Chattogram,Hathazari,Nuralibari SO,4337
Chattogram,Chattogram,Hathazari,Rashidbari EDBO,
Chattogram,Chattogram,Hathazari,Somitir Hat EDBO,
Chattogram,Chattogram,Hathazari,Yunus Nagar EDSO,4338
Chattogram,Chattogram,Jorarganj,,
Chattogram,Chattogram,Karnafuli,Chattogram Fish Harbour EDBO,
Chattogram,Chattogram,Khulshi,,
Chattogram,Chattogram,Lohagara,Chunti EDSO,4398
Chattogram,Chattogram,Lohagara,Lohaghora,4396
Chattogram,Chattogram,Lohagara,Padua So,4397
Chattogram,Chattogram,Mirsharai,Abur Hat EDBO,
Chattogram,Chattogram,Mirsharai,Abutorab SO,4321
Chattogram,Chattogram,Mirsharai,Azampur EDSO,4325
Chattogram,Chattogram,Mirsharai,Bharadazhat EDSO,4323
Chattogram,Chattogram,Mirsharai,Bishu Mia Hat EDBO,
Chattogram,Chattogram,Mirsharai,Bongnur EDBO,
Chattogram,Chattogram,Mirsharai,Bortakiya EDBO,
Chattogram,Chattogram,Mirsharai,Choitonner Hat EDBO,
Chattogram,Chattogram,Mirsharai,Darogahat EDSO,4322
Chattogram,Chattogram,Mirsharai,Eshak Driver Hat EDBO,
Chattogram,Chattogram,Mirsharai,Hadi Fakirhat EDBO,
Chattogram,Chattogram,Mirsharai,Haid Kandi EDBO,
Chattogram,Chattogram,Mirsharai,Hinguli EDSO,
Chattogram,Chattogram,Mirsharai,Joraganj SO,4324
Chattogram,Chattogram,Mirsharai,Karehat SO,4327
Chattogram,Chattogram,Mirsharai,Komoldoho EDBO,
Chattogram,Chattogram,Mirsharai,Mahajanhat SO,4326
Chattogram,Chattogram,Mirsharai,Matbar Hat EDBO,
Chattogram,Chattogram,Mirsharai,Mireshwarai UPO,4320
Chattogram,Chattogram,Mirsharai,Mithachara EDBO,
Chattogram,Chattogram,Mirsharai,Mithanala EDBO,
Chattogram,Chattogram,Mirsharai,Mobarok Ghona EDSO,
Chattogram,Chattogram,Mirsharai,Moliaish EDBO,
Chattogram,Chattogram,Mirsharai,Nijampur College EDBO,
Chattogram,Chattogram,Mirsharai,Poragolpur EDSO,
Chattogram,Chattogram,Mirsharai,Shantir Hat EDSO,
Chattogram,Chattogram,Mirsharai,Sufiya Madrasa EDBO,
Chattogram,Chattogram,Mirsharai,Temuhoni EDBO,
Chattogram,Chattogram,Pahartali,,
Chattogram,Chattogram,Panchlaish,,
Chattogram,Chattogram,Patenga,,
Chattogram,Chattogram,Patiya,Bathua EDBO,
Chattogram,Chattogram,Patiya,Budhpara SO,4371
Chattogram,Chattogram,Patiya,Char Laksha EDBO,
Chattogram,Chattogram,Patiya,Charkanai EDBO,
Chattogram,Chattogram,Patiya,Fajil Khar Hat EDBO,
Chattogram,Chattogram,Patiya,Fokhirnir Hat EDBO,
Chattogram,Chattogram,Patiya,Hukain EDBO,
